LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
9m21s       Normal    Created                        pod/mongodb-d948b8585-wnvx7             Created container: mongodb
9m21s       Normal    Pulled                         pod/mongodb-d948b8585-wnvx7             Successfully pulled image "mongo:4.4" in 18.096s (18.096s including waiting). Image size: 166163173 bytes.
9m20s       Normal    Started                        pod/mongodb-d948b8585-wnvx7             Started container mongodb
9m18s       Warning   FailedScheduling               pod/grid-dashboard-66cb797c94-wksmz     0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/asset-service-c744d6667-fgcsz       0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/dispatch-service-5589cf949c-mxbp6   0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/grid-dashboard-66cb797c94-jpm4n     0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/meter-service-5b8f45f67f-85nk2      0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/asset-service-c744d6667-fzdfb       0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/meter-service-5b8f45f67f-h7rhc      0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/load-simulator-57fc84dfdf-4962f     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/rabbitmq-79d58d7457-j4zdc           0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m18s       Warning   FailedScheduling               pod/dispatch-service-5589cf949c-rqx6w   0/3 nodes are available: 1 Insufficient cpu, 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m2s        Warning   FailedScheduling               pod/grid-dashboard-66cb797c94-jpm4n     0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
9m2s        Warning   FailedScheduling               pod/meter-service-5b8f45f67f-h7rhc      0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
9m2s        Warning   FailedScheduling               pod/dispatch-service-5589cf949c-rqx6w   0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
9m2s        Warning   FailedScheduling               pod/rabbitmq-79d58d7457-j4zdc           0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
9m2s        Warning   FailedScheduling               pod/load-simulator-57fc84dfdf-4962f     0/4 nodes are available: 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
9m2s        Warning   FailedScheduling               pod/asset-service-c744d6667-fgcsz       0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
